        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0    -3.392670   284.572954   314.262699   404.217201     0.152235    71.562186    38.610051    32.952135    35.877981    34.370438          0.0   225.528865   280.149518          0.0     4.115788          0.0
      1851.0     0.582140   284.054661   314.222427   404.030337     0.013374    75.215551    41.087809    34.127741    35.481754    35.294889          0.0   225.466148   280.071199          0.0     5.833193          0.0
      1852.0    -1.417892   283.761956   314.018057   405.164151     0.039041    74.945332    40.406765    34.538567    36.454729    37.588543          0.0   225.607719   280.257848          0.0     3.022591          0.0
      1853.0     0.144719   285.081532   312.108511   404.271627     0.314256    71.983589    38.619376    33.364213    36.418745    35.526220          0.0   225.645007   280.409853          0.0     5.002702          0.0
      1854.0    -1.079244   284.780890   311.880832   403.396073     0.102645    73.450295    39.925436    33.524859    35.610099    34.734545          0.0   225.497244   280.201679          0.0     5.418570          0.0
      1855.0     1.250465   284.131883   312.258623   403.614807     0.025513    77.995854    42.912930    35.082924    35.809609    36.028342          0.0   225.443902   280.063399          0.0     6.506797          0.0
      1856.0    -1.847879   284.017444   312.502914   404.860659    -0.107755    75.029986    40.439267    34.590719    36.738081    37.983933          0.0   225.605939   280.354433          0.0     2.211042          0.0
      1857.0     1.438274   285.229495   311.105871   403.993379     0.324978    73.337698    39.501512    33.836185    36.284388    35.417107          0.0   225.651974   280.467627          0.0     5.481448          0.0
      1858.0    -0.046635   285.211972   310.661553   403.403781     0.284257    74.042283    40.406024    33.636260    35.972305    35.382707          0.0   225.527815   280.157471          0.0     5.467635          0.0
      1859.0    -1.729227   285.054279   310.616840   403.171131     0.135112    73.299666    39.619062    33.680604    35.915208    35.682558          0.0   225.573908   280.281310          0.0     3.981218          0.0
      1860.0     1.565258   285.293299   310.191957   402.584093    -0.013975    74.929718    41.066630    33.863088    35.473603    34.886566          0.0   225.507780   280.190582          0.0     6.604946          0.0
      1861.0    -0.266111   284.914969   310.472196   403.466595    -0.070281    75.227112    41.088818    34.138294    35.722050    36.604552          0.0   225.446734   279.949939          0.0     4.204028          0.0
      1862.0     0.242393   285.260510   309.966478   403.932050     0.034045    73.345322    40.163208    33.182114    35.593448    36.058903          0.0   225.454324   280.113327          0.0     4.610023          0.0
      1863.0     0.752925   285.372824   310.217239   403.659065     0.016059    75.080826    41.016423    34.064403    35.925992    35.653007          0.0   225.488036   280.161939          0.0     5.112654          0.0
      1864.0    -0.809695   285.721603   310.002997   403.691463     0.178954    73.175937    39.613232    33.562705    36.015554    36.047952          0.0   225.578282   280.357243          0.0     3.779522          0.0
      1865.0     0.551706   286.727302   308.758647   402.532364     0.349182    71.970450    38.786896    33.183554    36.086068    34.926969          0.0   225.641230   280.472397          0.0     5.104277          0.0
      1866.0    -0.983684   286.850177   308.176998   401.560653     0.470085    71.540235    38.797012    32.743223    35.692674    34.720962          0.0   225.645548   280.422327          0.0     4.657698          0.0
      1867.0    -0.754468   286.864930   307.524425   400.700628     0.548356    71.610818    38.769966    32.840852    35.276696    34.416672          0.0   225.619120   280.297623          0.0     5.005868          0.0
      1868.0     0.107762   286.834578   306.832616   400.313999     0.422720    72.432888    39.330692    33.102196    35.145613    34.758984          0.0   225.566748   280.264779          0.0     5.263516          0.0
      1869.0     0.382772   286.676718   306.870518   400.165590     0.119955    74.363572    40.694288    33.669284    35.583457    35.435048          0.0   225.581076   280.413500          0.0     5.221337          0.0
      1870.0    -0.251461   286.516412   307.111037   400.494064     0.114322    74.106732    40.212729    33.894003    35.591220    35.919694          0.0   225.600903   280.337970          0.0     4.052517          0.0
      1871.0     0.239434   286.930414   306.433060   400.485580     0.312801    73.166639    39.722448    33.444192    35.756215    35.747732          0.0   225.596797   280.232995          0.0     4.652693          0.0
      1872.0    -0.021577   287.508339   305.618981   399.877951     0.342870    72.750223    39.164487    33.585736    35.659216    35.051586          0.0   225.649448   280.410477          0.0     4.926980          0.0
      1873.0    -0.442984   287.739654   304.608399   399.335598     0.447426    71.574950    38.928209    32.646740    35.049614    34.507261          0.0   225.572464   280.302140          0.0     5.431530          0.0
      1874.0    -0.563366   287.690936   304.278658   398.823608     0.367813    72.290973    39.101240    33.189733    35.430769    34.918779          0.0   225.642169   280.394812          0.0     4.512203          0.0
      1875.0    -0.055210   287.965155   303.495375   398.501097     0.246601    72.423060    38.980914    33.442146    35.064176    34.741665          0.0   225.649857   280.392805          0.0     5.022532          0.0
      1876.0     0.372587   287.728307   303.477314   398.562005     0.028932    74.293517    40.636038    33.657479    35.203931    35.264839          0.0   225.578416   280.249323          0.0     5.389260          0.0
      1877.0     0.130212   287.863381   303.123127   398.985468     0.210808    73.238483    39.728849    33.509634    35.508485    35.931949          0.0   225.587643   280.289137          0.0     4.151087          0.0
      1878.0     0.567963   288.021939   303.095444   399.098131     0.175792    73.388053    39.941741    33.446312    35.284190    35.396852          0.0   225.582944   280.197077          0.0     4.572571          0.0
      1879.0     0.320495   288.411769   302.707993   398.981502     0.444121    73.502903    39.908694    33.594209    35.951634    35.835005          0.0   225.715278   280.590864          0.0     4.461140          0.0
      1880.0     0.447789   288.939667   301.934868   398.437479     0.396005    72.197571    39.131508    33.066063    35.368401    34.824377          0.0   225.600962   280.323538          0.0     5.080255          0.0
      1881.0     0.504040   289.024640   301.592401   398.248874     0.282075    72.783705    39.611339    33.172365    34.906565    34.717960          0.0   225.565907   280.257914          0.0     5.235846          0.0
      1882.0     0.871914   288.736264   301.896556   398.722547     0.163623    74.649979    40.813347    33.836633    34.972065    35.445738          0.0   225.510761   280.226363          0.0     5.063455          0.0
      1883.0    -0.456886   289.217884   301.312276   399.363911     0.400250    73.073806    39.994100    33.079706    36.285072    36.926437          0.0   225.585610   280.309435          0.0     3.651942          0.0
      1884.0     1.998721   289.856808   300.309435   398.684484     0.597842    72.349989    40.248002    32.101987    34.868806    34.189379          0.0   225.314208   279.601072          0.0     7.061465          0.0
      1885.0    -0.192051   289.774444   300.318250   398.777833     0.242650    72.470229    39.923481    32.546748    34.992053    35.085402          0.0   225.347793   279.830277          0.0     4.829263          0.0
      1886.0     0.938286   289.682493   300.960710   398.936226    -0.169397    75.881218    41.930307    33.950912    35.675992    35.834385          0.0   225.424120   279.989912          0.0     5.453461          0.0
      1887.0     1.502578   289.718762   301.392139   399.659693     0.067527    75.955093    42.045338    33.909755    35.669638    36.393105          0.0   225.462133   280.045907          0.0     5.220804          0.0
      1888.0     0.198482   290.574838   300.678292   400.247503     0.277113    72.806954    39.727424    33.079530    36.271237    36.859047          0.0   225.633172   280.237954          0.0     3.582224          0.0
      1889.0     1.951663   291.375194   300.152984   399.344357     0.308500    73.941379    40.531991    33.409389    35.871226    34.968080          0.0   225.686859   280.388907          0.0     6.089219          0.0
      1890.0     0.259172   291.475418   300.275917   398.945396     0.263449    74.570878    40.847580    33.723298    35.753104    35.354143          0.0   225.617733   280.259458          0.0     5.370504          0.0
      1891.0     1.170525   291.675387   300.095440   399.028834     0.267781    74.397311    41.142881    33.254430    35.710896    35.794334          0.0   225.634727   280.206667          0.0     5.529024          0.0
      1892.0    -0.353176   292.085988   299.674814   399.384749     0.365417    72.249731    39.417823    32.831909    35.633494    35.989409          0.0   225.632148   280.257429          0.0     3.849039          0.0
      1893.0     0.778917   292.788860   298.723801   398.806579     0.337010    73.590338    40.146516    33.443822    35.579104    35.000934          0.0   225.678539   280.366662          0.0     6.096595          0.0
      1894.0     0.289463   293.055841   298.373523   398.320699     0.378716    73.360321    40.348210    33.012111    35.733636    35.247756          0.0   225.687336   280.346105          0.0     5.450733          0.0
      1895.0     0.356358   293.273418   298.204589   397.839031     0.519218    72.845980    39.874103    32.971876    35.488635    35.006967          0.0   225.725343   280.453859          0.0     5.036070          0.0
      1896.0    -0.138252   293.848779   297.314525   397.466022     0.411082    72.175908    39.332552    32.843356    35.576893    35.203884          0.0   225.781920   280.524235          0.0     5.018732          0.0
      1897.0     0.826115   293.819648   297.114808   397.016454     0.338126    74.709647    40.966694    33.742954    35.476930    35.027362          0.0   225.753365   280.575781          0.0     6.139048          0.0
      1898.0     0.347494   293.797410   297.120768   397.231615     0.322096    73.752134    40.594169    33.157965    35.531780    35.746940          0.0   225.716043   280.327452          0.0     4.841268          0.0
      1899.0    -0.474335   294.540105   296.403035   396.850056     0.499634    71.539637    38.970571    32.569066    35.847952    35.466393          0.0   225.823588   280.643091          0.0     4.221911          0.0
      1900.0     0.230209   295.644616   294.881043   395.522595     0.649063    70.995020    38.746941    32.248079    35.518576    34.191115          0.0   225.867565   280.735167          0.0     6.077818          0.0
      1901.0     0.183471   295.798168   294.036899   394.417232     0.435996    72.144813    39.852715    32.292098    34.795272    33.689909          0.0   225.702284   280.322155          0.0     7.006950          0.0
      1902.0     0.724713   295.072029   294.807910   394.460934    -0.015457    75.405630    41.842397    33.563233    34.797664    34.841366          0.0   225.656288   280.309068          0.0     6.230020          0.0
      1903.0     0.532561   295.104920   294.818853   395.628675     0.260537    73.493863    40.822080    32.671782    35.342779    36.510520          0.0   225.559870   279.899464          0.0     4.300618          0.0
      1904.0     0.074400   296.141402   293.710021   395.602866     0.558396    71.331392    39.002533    32.328859    35.896309    35.870499          0.0   225.780210   280.424919          0.0     4.240865          0.0
      1905.0     1.286555   296.853978   292.528641   394.755280     0.590500    72.645174    39.961363    32.683811    35.120702    34.273116          0.0   225.775129   280.552141          0.0     6.869626          0.0
      1906.0     0.201066   296.601658   292.655026   394.583097     0.395936    74.538073    41.208702    33.329370    35.234373    35.062189          0.0   225.723828   280.353388          0.0     6.020128          0.0
      1907.0     0.840793   296.670821   292.625115   394.853968     0.340378    74.510606    41.125795    33.384811    35.353744    35.624616          0.0   225.729563   280.388887          0.0     5.531090          0.0
      1908.0     0.293715   297.085704   292.346275   395.211015     0.389514    73.301961    40.300687    33.001274    35.363464    35.720511          0.0   225.747511   280.417124          0.0     4.859016          0.0
      1909.0     1.622936   298.057276   291.216544   394.726779     0.635686    72.722685    40.027912    32.694773    35.584865    35.100628          0.0   225.859624   280.770821          0.0     6.057015          0.0
      1910.0     0.105143   298.422403   290.934401   393.961760     0.764741    72.352133    39.758011    32.594122    35.861342    35.096323          0.0   225.865728   280.723741          0.0     4.943831          0.0
      1911.0     0.899164   299.074181   290.254165   392.905883     0.832705    71.478229    39.218502    32.259726    35.027754    33.971878          0.0   225.875496   280.739547          0.0     5.926860          0.0
      1912.0     1.113218   298.923545   290.271913   392.717397     0.624253    73.054865    40.820723    32.234142    34.538375    34.349889          0.0   225.585813   280.151594          0.0     6.453087          0.0
